@RELATION INJECTION
@ATTRIBUTE hasInjectionWordInMethodDetail {True, False}
@ATTRIBUTE hasNonInjectionInMethodDetail {True, False}
@ATTRIBUTE startWithActionWordInMethodName {True, False}
@ATTRIBUTE INJECTION {Injection, Non-Injection, Unknown}
@DATA
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Injection
True,True,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Injection
True,True,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Injection
True,True,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Injection
True,False,False,Injection
True,True,False,Injection
True,False,False,Injection
True,True,False,Injection
True,False,False,Injection
True,True,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Injection
True,False,False,Injection
True,False,False,Injection
True,False,False,Injection
True,True,False,Non-Injection
False,False,False,Non-Injection
False,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
False,True,False,Non-Injection
False,True,True,Non-Injection
True,True,False,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
True,False,False,Non-Injection
False,True,True,Non-Injection
False,True,False,Non-Injection
True,True,True,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
False,True,True,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
False,True,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
True,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,False,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,False,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
True,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
True,True,False,Non-Injection
False,False,False,Non-Injection
False,False,False,Non-Injection
False,False,False,Non-Injection
False,False,False,Non-Injection
True,False,False,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
False,False,False,Non-Injection
False,True,False,Non-Injection
False,False,False,Non-Injection
False,True,False,Non-Injection
False,False,False,Non-Injection
True,True,False,Non-Injection
True,False,False,Non-Injection
True,False,False,Non-Injection
True,True,True,Non-Injection
False,False,True,Non-Injection
True,True,True,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
True,True,True,Non-Injection
True,True,True,Non-Injection
True,False,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
True,True,True,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,False,False,Non-Injection
True,False,True,Non-Injection
False,False,True,Non-Injection
True,False,True,Non-Injection
False,False,True,Non-Injection
True,False,True,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,True,False,Non-Injection
True,False,False,Non-Injection
True,False,False,Non-Injection
True,False,False,Non-Injection
True,False,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
True,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
True,True,True,Non-Injection
False,False,True,Non-Injection
True,True,True,Non-Injection
False,True,True,Non-Injection
False,False,True,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
True,True,True,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
True,True,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,False,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
True,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
True,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
True,False,True,Non-Injection
False,False,True,Non-Injection
False,True,True,Non-Injection
True,False,True,Non-Injection
True,False,True,Non-Injection
True,False,True,Non-Injection
False,False,True,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
True,True,False,Non-Injection
False,True,False,Non-Injection
True,True,False,Non-Injection
False,False,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
True,True,True,Non-Injection
True,False,True,Non-Injection
True,True,True,Non-Injection
True,True,True,Non-Injection
True,True,True,Non-Injection
True,True,True,Non-Injection
True,False,True,Non-Injection
True,False,True,Non-Injection
False,False,True,Non-Injection
True,True,True,Non-Injection
False,True,False,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
True,False,True,Non-Injection
True,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,True,True,Non-Injection
True,True,True,Non-Injection
True,False,True,Non-Injection
True,False,True,Non-Injection
True,False,True,Non-Injection
True,False,True,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
False,True,False,Non-Injection
True,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,True,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,True,Non-Injection
False,False,False,Non-Injection
True,False,True,Non-Injection
True,True,True,Non-Injection
True,False,True,Non-Injection
True,False,True,Non-Injection
True,False,True,Non-Injection
True,False,True,Non-Injection
True,True,True,Non-Injection
True,True,True,Non-Injection
True,True,True,Non-Injection
True,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
False,True,True,Non-Injection
True,False,True,Non-Injection
True,False,True,Non-Injection
False,True,True,Non-Injection
True,False,True,Non-Injection
True,False,True,Non-Injection
False,True,True,Non-Injection
